Customer_ID,Customer_Age,Gender,Policy_Type,Monthly_Premium,Coverage_Amount,Claims_Filed,Risk_Level,Years_as_Customer,Payment_Status,Policy_Start_Date,Avg_Monthly_Premium,Total_Claims,Retention_Rate,Avg_Coverage_Amount,New_Customers,Claims_Frequency,Revenue_Per_Customer,Claims_Category,Retention_Category
P001,45,M,Auto,150.00,50000.00,1,Medium,5,"On Time",2024-08-10,172.00,19,40.00,71100.00,4,1.90,172.00,"Low Claims","Low Retention"
P002,32,F,Home,200.00,150000.00,0,Low,2,"On Time",2024-11-21,230.83,2,100.00,183333.33,4,0.33,230.83,"No Claims","High Retention"
P003,28,M,Life,75.00,100000.00,0,Low,1,Late,2023-02-12,239.38,2,87.50,228750.00,1,0.25,239.38,"No Claims","High Retention"
P004,52,F,Auto,180.00,75000.00,2,High,8,"On Time",2024-09-02,172.00,19,40.00,71100.00,4,1.90,172.00,"Medium Claims","Low Retention"
P005,39,M,Home,250.00,200000.00,1,Medium,4,"On Time",2024-04-01,230.83,2,100.00,183333.33,4,0.33,230.83,"Low Claims","High Retention"
P006,61,F,Life,300.00,300000.00,0,Medium,10,"On Time",2024-03-25,239.38,2,87.50,228750.00,1,0.25,239.38,"No Claims","High Retention"
P007,29,M,Auto,160.00,60000.00,3,High,3,Late,2023-02-28,172.00,19,40.00,71100.00,4,1.90,172.00,"High Claims","Low Retention"
P008,35,F,Home,220.00,180000.00,0,Low,5,"On Time",2024-08-08,230.83,2,100.00,183333.33,4,0.33,230.83,"No Claims","High Retention"
P009,48,M,Life,125.00,120000.00,1,Medium,6,"On Time",2023-10-15,239.38,2,87.50,228750.00,1,0.25,239.38,"Low Claims","High Retention"
P010,55,F,Auto,170.00,65000.00,2,High,7,Late,2024-05-18,172.00,19,40.00,71100.00,4,1.90,172.00,"Medium Claims","Low Retention"
P012,27,M,Auto,140.00,45000.00,2,High,1,Late,2023-01-10,172.00,19,40.00,71100.00,4,1.90,172.00,"Medium Claims","Low Retention"
P013,58,F,Life,280.00,250000.00,0,Low,12,"On Time",2023-06-30,239.38,2,87.50,228750.00,1,0.25,239.38,"No Claims","High Retention"
P014,33,M,Auto,165.00,55000.00,1,Medium,3,"On Time",2023-02-23,172.00,19,40.00,71100.00,4,1.90,172.00,"Low Claims","Low Retention"
P015,45,F,Home,210.00,160000.00,0,Low,7,"On Time",2024-07-03,230.83,2,100.00,183333.33,4,0.33,230.83,"No Claims","High Retention"
P016,51,M,Life,320.00,280000.00,1,Medium,9,"On Time",2023-05-01,239.38,2,87.50,228750.00,1,0.25,239.38,"Low Claims","High Retention"
P017,29,F,Auto,155.00,48000.00,3,High,2,Late,2024-08-18,172.00,19,40.00,71100.00,4,1.90,172.00,"High Claims","Low Retention"
P018,37,M,Home,245.00,190000.00,0,Low,5,"On Time",2023-06-02,230.83,2,100.00,183333.33,4,0.33,230.83,"No Claims","High Retention"
P019,63,F,Life,350.00,400000.00,0,Medium,15,"On Time",2024-09-10,239.38,2,87.50,228750.00,1,0.25,239.38,"No Claims","High Retention"
P020,31,M,Auto,175.00,58000.00,2,High,2,Late,2023-06-21,172.00,19,40.00,71100.00,4,1.90,172.00,"Medium Claims","Low Retention"
P021,49,F,Home,260.00,220000.00,1,Medium,8,"On Time",2024-10-04,230.83,2,100.00,183333.33,4,0.33,230.83,"Low Claims","High Retention"
P022,36,M,Life,195.00,150000.00,0,Low,4,"On Time",2023-08-22,239.38,2,87.50,228750.00,1,0.25,239.38,"No Claims","High Retention"
P023,55,F,Auto,185.00,70000.00,1,Medium,6,"On Time",2023-03-05,172.00,19,40.00,71100.00,4,1.90,172.00,"Low Claims","Low Retention"
P024,40,M,Auto,240.00,185000.00,2,High,5,Late,2024-03-15,172.00,19,40.00,71100.00,4,1.90,172.00,"Medium Claims","Low Retention"
P025,44,F,Life,270.00,230000.00,0,Low,7,"On Time",2023-12-29,239.38,2,87.50,228750.00,1,0.25,239.38,"No Claims","High Retention"
